,id,gender,race,age,path
0,000001,female,Asian,45,000001_female_Asian_45
1,000002,female,Asian,52,000002_female_Asian_52
2,000004,male,Asian,54,000004_male_Asian_54
3,000005,female,Asian,58,000005_female_Asian_58
4,000006,female,Asian,59,000006_female_Asian_59
5,000007,female,Asian,58,000007_female_Asian_58
6,000008,female,Asian,58,000008_female_Asian_58
7,000009,female,Asian,56,000009_female_Asian_56
8,000010,female,Asian,58,000010_female_Asian_58
9,000012,male,Asian,57,000012_male_Asian_57
10,000014,female,Asian,58,000014_female_Asian_58
11,000015,male,Asian,55,000015_male_Asian_55
12,000016,female,Asian,58,000016_female_Asian_58
13,000018,female,Asian,59,000018_female_Asian_59
14,000019,female,Asian,57,000019_female_Asian_57
15,000020,female,Asian,50,000020_female_Asian_50
16,000021,female,Asian,54,000021_female_Asian_54
17,000022,female,Asian,58,000022_female_Asian_58
18,000023,female,Asian,55,000023_female_Asian_55
19,000024,female,Asian,58,000024_female_Asian_58
20,000025,female,Asian,49,000025_female_Asian_49
21,000026,female,Asian,56,000026_female_Asian_56
22,000028,female,Asian,58,000028_female_Asian_58
23,000029,female,Asian,58,000029_female_Asian_58
24,000030,female,Asian,55,000030_female_Asian_55
25,000031,female,Asian,54,000031_female_Asian_54
26,000033,male,Asian,57,000033_male_Asian_57
27,000034,female,Asian,55,000034_female_Asian_55
28,000036,female,Asian,58,000036_female_Asian_58
29,000037,female,Asian,58,000037_female_Asian_58
30,000038,female,Asian,58,000038_female_Asian_58
31,000039,female,Asian,57,000039_female_Asian_57
32,000040,female,Asian,57,000040_female_Asian_57
33,000041,female,Asian,58,000041_female_Asian_58
34,000043,male,Asian,56,000043_male_Asian_56
35,000044,female,Asian,58,000044_female_Asian_58
36,000045,female,Asian,56,000045_female_Asian_56
37,000046,male,Asian,55,000046_male_Asian_55
38,000047,male,Asian,58,000047_male_Asian_58
39,000048,female,Asian,57,000048_female_Asian_57
40,000062,female,Asian,55,000062_female_Asian_55
41,000064,male,Asian,59,000064_male_Asian_59
42,000066,female,Asian,53,000066_female_Asian_53
43,000067,female,Asian,54,000067_female_Asian_54
44,000069,female,Asian,54,000069_female_Asian_54
45,000070,female,Asian,58,000070_female_Asian_58
46,000071,female,Asian,56,000071_female_Asian_56
47,000073,female,Asian,52,000073_female_Asian_52
48,000075,female,Asian,56,000075_female_Asian_56
49,000077,male,Asian,59,000077_male_Asian_59
50,000078,female,Asian,55,000078_female_Asian_55
51,000079,female,Asian,57,000079_female_Asian_57
52,000080,female,Asian,57,000080_female_Asian_57
53,000206,female,Asian,57,000206_female_Asian_57
54,000207,female,Asian,56,000207_female_Asian_56
55,000209,female,Asian,56,000209_female_Asian_56
56,000210,female,Asian,54,000210_female_Asian_54
57,000212,female,Asian,51,000212_female_Asian_51
58,000214,female,Asian,51,000214_female_Asian_51
59,000215,female,Asian,59,000215_female_Asian_59
60,000216,female,Asian,56,000216_female_Asian_56
61,000217,female,Asian,54,000217_female_Asian_54
62,000218,female,Asian,59,000218_female_Asian_59
63,000219,female,Asian,53,000219_female_Asian_53
64,000221,female,Asian,40,000221_female_Asian_40
65,000224,female,Asian,56,000224_female_Asian_56
66,000225,female,Asian,25,000225_female_Asian_25
67,000226,female,Asian,58,000226_female_Asian_58
68,000227,female,Asian,59,000227_female_Asian_59
69,000228,female,Asian,56,000228_female_Asian_56
70,000229,male,Asian,56,000229_male_Asian_56
71,000231,male,Asian,56,000231_male_Asian_56
72,000232,male,Asian,53,000232_male_Asian_53
73,000235,male,Asian,57,000235_male_Asian_57
74,000236,male,Asian,51,000236_male_Asian_51
75,000237,male,Asian,56,000237_male_Asian_56
76,000238,male,Asian,57,000238_male_Asian_57
77,000240,male,Asian,57,000240_male_Asian_57
78,000241,male,Asian,56,000241_male_Asian_56
79,000242,male,Asian,56,000242_male_Asian_56
80,000243,female,Asian,58,000243_female_Asian_58
81,000244,female,Asian,56,000244_female_Asian_56
82,000245,male,Asian,58,000245_male_Asian_58
83,000248,female,Asian,54,000248_female_Asian_54
84,000249,male,Asian,53,000249_male_Asian_53
85,000255,female,Asian,59,000255_female_Asian_59
86,000256,female,Asian,58,000256_female_Asian_58
87,000260,female,Asian,58,000260_female_Asian_58
88,000261,female,Asian,58,000261_female_Asian_58
89,000262,male,Asian,56,000262_male_Asian_56
90,000263,female,Asian,48,000263_female_Asian_48
91,000264,female,Asian,51,000264_female_Asian_51
92,000265,female,Asian,58,000265_female_Asian_58
93,000266,female,Asian,58,000266_female_Asian_58
94,000267,male,Asian,58,000267_male_Asian_58
95,000268,male,Asian,59,000268_male_Asian_59
96,000269,male,Asian,56,000269_male_Asian_56
97,000270,female,Asian,49,000270_female_Asian_49
98,000272,female,Asian,52,000272_female_Asian_52
99,000273,female,Asian,56,000273_female_Asian_56
100,000274,female,Asian,54,000274_female_Asian_54
101,000275,female,Asian,54,000275_female_Asian_54
102,000276,female,Asian,58,000276_female_Asian_58
103,000277,female,Asian,54,000277_female_Asian_54
104,000278,female,Asian,54,000278_female_Asian_54
105,000279,female,Asian,54,000279_female_Asian_54
106,000280,female,Asian,54,000280_female_Asian_54
107,000282,female,Asian,59,000282_female_Asian_59
108,000283,female,Asian,57,000283_female_Asian_57
109,000285,female,Asian,54,000285_female_Asian_54
110,000286,female,Asian,51,000286_female_Asian_51
111,000288,female,Asian,51,000288_female_Asian_51
112,000292,female,Asian,57,000292_female_Asian_57
113,000293,female,Asian,57,000293_female_Asian_57
114,000294,female,Asian,53,000294_female_Asian_53
115,000295,female,Asian,56,000295_female_Asian_56
116,000296,female,Asian,57,000296_female_Asian_57
117,000297,female,Asian,53,000297_female_Asian_53
118,000299,female,Asian,57,000299_female_Asian_57
119,000301,female,Asian,55,000301_female_Asian_55
120,000302,female,Asian,56,000302_female_Asian_56
121,000304,female,Asian,51,000304_female_Asian_51
122,000309,male,Asian,29,000309_male_Asian_29
123,000311,female,Asian,58,000311_female_Asian_58
124,000312,female,Asian,57,000312_female_Asian_57
125,000313,female,Asian,54,000313_female_Asian_54
126,000334,female,Asian,52,000334_female_Asian_52
127,000336,female,Asian,56,000336_female_Asian_56
128,000344,female,Asian,57,000344_female_Asian_57
129,000348,male,Asian,58,000348_male_Asian_58
130,000356,female,Asian,58,000356_female_Asian_58
131,000357,female,Asian,55,000357_female_Asian_55
132,000376,female,Asian,59,000376_female_Asian_59
133,000378,female,Asian,55,000378_female_Asian_55
134,000381,female,Asian,59,000381_female_Asian_59
135,000498,female,Asian,56,000498_female_Asian_56
136,000499,female,Asian,58,000499_female_Asian_58
137,000511,female,Asian,55,000511_female_Asian_55
138,000512,female,Asian,55,000512_female_Asian_55
139,000513,female,Asian,58,000513_female_Asian_58
140,000514,female,Asian,59,000514_female_Asian_59
141,000515,female,Asian,50,000515_female_Asian_50
142,000516,female,Asian,52,000516_female_Asian_52
143,000517,female,Asian,58,000517_female_Asian_58
144,000518,female,Asian,55,000518_female_Asian_55
145,000519,female,Asian,56,000519_female_Asian_56
146,000520,female,Asian,59,000520_female_Asian_59
147,000522,female,Asian,51,000522_female_Asian_51
148,000523,female,Asian,51,000523_female_Asian_51
149,000525,female,Asian,53,000525_female_Asian_53
150,000526,female,Asian,59,000526_female_Asian_59
151,000527,female,Asian,58,000527_female_Asian_58
152,000528,female,Asian,51,000528_female_Asian_51
153,000529,female,Asian,51,000529_female_Asian_51
154,000531,female,Asian,56,000531_female_Asian_56
155,000532,female,Asian,57,000532_female_Asian_57
156,000533,female,Asian,54,000533_female_Asian_54
157,000534,female,Asian,50,000534_female_Asian_50
158,000535,female,Asian,50,000535_female_Asian_50
159,000536,female,Asian,51,000536_female_Asian_51
160,000538,male,Asian,54,000538_male_Asian_54
161,000539,female,Asian,54,000539_female_Asian_54
162,000541,female,Asian,35,000541_female_Asian_35
163,000542,female,Asian,58,000542_female_Asian_58
164,000543,male,Asian,35,000543_male_Asian_35
165,000545,female,Asian,58,000545_female_Asian_58
166,000546,female,Asian,52,000546_female_Asian_52
167,000547,female,Asian,55,000547_female_Asian_55
168,000548,female,Asian,53,000548_female_Asian_53
169,000549,female,Asian,58,000549_female_Asian_58
170,000550,male,Asian,56,000550_male_Asian_56
171,000552,female,Asian,56,000552_female_Asian_56
172,000553,female,Asian,58,000553_female_Asian_58
173,000554,female,Asian,54,000554_female_Asian_54
174,000556,male,Asian,57,000556_male_Asian_57
175,000557,female,Asian,57,000557_female_Asian_57
176,000558,female,Asian,58,000558_female_Asian_58
177,000559,female,Asian,59,000559_female_Asian_59
